Feature,Importance
X27,0.4309103863735382
X21,0.36681539225028625
X39,0.2850233116761493
X6,0.2775574746006661
X9,0.23502742901013987
X29,0.13239295349187222
X51,0.11604860978639865
X24,0.11601426663267278
X10,0.07757517153249081
X43,0.07126464264603868
X61,0.0707180483001333
X36,0.06933842393920722
X44,0.06891279183153365
X16,0.06768505402248177
X2,0.06699304134844411
X8,0.0658904773336329
X56,0.06369621038152863
X58,0.06125915860681768
X49,0.05543474132276479
X62,0.04951853861722111
X32,0.04915853956402743
X30,0.049117934555020205
X45,0.04870306359415055
X54,0.04487275860880855
X53,0.04470013957764397
X42,0.042172910880487545
X33,0.03435700229338469
X20,0.033873973290723315
X4,0.031510193588896916
X28,0.03111682210516906
X64,0.03106391403365774
X55,0.029196776190347558
X13,0.028600991297525503
X5,0.025287793460758552
X1,0.02499866997943818
X3,0.02381789709298772
X41,0.023021406055834855
X19,0.0220073651363145
X12,0.017825371034206037
X57,0.01711065705641114
X31,0.01604640237175395
X59,0.015607931478725117
X15,0.013680054222536696
X47,0.013354512215590099
X37,0.006648641359697841
